date,max_temp,min_temp
2026-09-22,15.8,4.9
2026-09-23,16.9,8.2
2026-09-24,18.8,6.6
2026-09-25,16.4,5.4
2026-09-26,16.2,3.5
2026-09-27,12.9,-0.1
2026-09-28,14.6,-2.1
